,date_day,repo_id,repo_name,count_stars
0,2015-04-01,33702544,plotly/dash,7
1,2015-05-01,33702544,plotly/dash,7
2,2015-06-01,33702544,plotly/dash,7
3,2015-07-01,33702544,plotly/dash,5
4,2015-08-01,33702544,plotly/dash,7
5,2015-09-01,33702544,plotly/dash,9
6,2015-10-01,33702544,plotly/dash,15
7,2015-11-01,33702544,plotly/dash,18
8,2015-12-01,33702544,plotly/dash,17
9,2016-01-01,33702544,plotly/dash,9
10,2016-02-01,33702544,plotly/dash,23
11,2016-03-01,33702544,plotly/dash,13
12,2016-04-01,33702544,plotly/dash,21
13,2016-05-01,33702544,plotly/dash,12
14,2016-06-01,33702544,plotly/dash,19
15,2016-07-01,33702544,plotly/dash,15
16,2016-08-01,33702544,plotly/dash,8
17,2016-09-01,33702544,plotly/dash,15
18,2016-10-01,33702544,plotly/dash,21
19,2016-11-01,33702544,plotly/dash,15
20,2016-12-01,33702544,plotly/dash,17
21,2017-01-01,33702544,plotly/dash,4
22,2017-02-01,33702544,plotly/dash,18
23,2017-03-01,33702544,plotly/dash,30
24,2017-04-01,33702544,plotly/dash,15
25,2017-05-01,33702544,plotly/dash,14
26,2017-06-01,33702544,plotly/dash,1598
27,2017-07-01,33702544,plotly/dash,371
28,2017-08-01,33702544,plotly/dash,145
29,2017-09-01,33702544,plotly/dash,126
30,2017-10-01,33702544,plotly/dash,184
31,2017-11-01,33702544,plotly/dash,147
32,2017-12-01,33702544,plotly/dash,369
33,2018-01-01,33702544,plotly/dash,663
34,2018-02-01,33702544,plotly/dash,336
35,2018-03-01,33702544,plotly/dash,366
36,2018-04-01,33702544,plotly/dash,257
37,2018-05-01,33702544,plotly/dash,261
38,2018-06-01,33702544,plotly/dash,264
39,2018-07-01,33702544,plotly/dash,271
40,2018-08-01,33702544,plotly/dash,285
41,2018-09-01,33702544,plotly/dash,352
42,2018-10-01,33702544,plotly/dash,320
43,2018-11-01,33702544,plotly/dash,426
44,2018-12-01,33702544,plotly/dash,366
45,2019-01-01,33702544,plotly/dash,316
46,2019-02-01,33702544,plotly/dash,353
47,2019-03-01,33702544,plotly/dash,414
48,2019-04-01,33702544,plotly/dash,405
49,2019-05-01,33702544,plotly/dash,295
50,2019-06-01,33702544,plotly/dash,260
51,2019-07-01,33702544,plotly/dash,290
52,2019-08-01,33702544,plotly/dash,222
53,2019-09-01,33702544,plotly/dash,203
54,2019-10-01,33702544,plotly/dash,221
55,2019-11-01,33702544,plotly/dash,331
56,2019-12-01,33702544,plotly/dash,206
57,2020-01-01,33702544,plotly/dash,294
58,2020-02-01,33702544,plotly/dash,186
59,2020-03-01,33702544,plotly/dash,273
60,2020-04-01,33702544,plotly/dash,544
61,2020-05-01,33702544,plotly/dash,324
62,2020-06-01,33702544,plotly/dash,239
63,2020-07-01,33702544,plotly/dash,281
64,2020-08-01,33702544,plotly/dash,256
65,2020-09-01,33702544,plotly/dash,215
66,2020-10-01,33702544,plotly/dash,227
67,2020-11-01,33702544,plotly/dash,277
68,2020-12-01,33702544,plotly/dash,216
69,2021-01-01,33702544,plotly/dash,271
70,2021-02-01,33702544,plotly/dash,204
71,2021-03-01,33702544,plotly/dash,199
72,2021-04-01,33702544,plotly/dash,214
73,2021-05-01,33702544,plotly/dash,176
74,2021-06-01,33702544,plotly/dash,196
75,2021-07-01,33702544,plotly/dash,164
76,2021-08-01,33702544,plotly/dash,161
77,2021-09-01,33702544,plotly/dash,150
78,2021-10-01,33702544,plotly/dash,62
79,2021-11-01,33702544,plotly/dash,188
80,2021-12-01,33702544,plotly/dash,206
81,2022-01-01,33702544,plotly/dash,203
82,2022-02-01,33702544,plotly/dash,169
83,2022-03-01,33702544,plotly/dash,181
84,2022-04-01,33702544,plotly/dash,199
85,2022-05-01,33702544,plotly/dash,251
86,2022-06-01,33702544,plotly/dash,183
87,2022-07-01,33702544,plotly/dash,332
88,2022-08-01,33702544,plotly/dash,176
89,2022-09-01,33702544,plotly/dash,196
90,2022-10-01,33702544,plotly/dash,163
91,2022-11-01,33702544,plotly/dash,149
92,2022-12-01,33702544,plotly/dash,163
93,2023-01-01,33702544,plotly/dash,154
94,2023-02-01,33702544,plotly/dash,180
95,2023-03-01,33702544,plotly/dash,196
96,2021-11-01,186647681,amundsen-io/amundsen,87
97,2021-12-01,186647681,amundsen-io/amundsen,82
98,2022-01-01,186647681,amundsen-io/amundsen,104
99,2022-02-01,186647681,amundsen-io/amundsen,73
100,2022-03-01,186647681,amundsen-io/amundsen,87
101,2022-04-01,186647681,amundsen-io/amundsen,76
102,2022-05-01,186647681,amundsen-io/amundsen,81
103,2022-06-01,186647681,amundsen-io/amundsen,63
104,2022-07-01,186647681,amundsen-io/amundsen,67
105,2022-08-01,186647681,amundsen-io/amundsen,64
106,2022-09-01,186647681,amundsen-io/amundsen,62
107,2022-10-01,186647681,amundsen-io/amundsen,46
108,2022-11-01,186647681,amundsen-io/amundsen,47
109,2022-12-01,186647681,amundsen-io/amundsen,48
110,2023-01-01,186647681,amundsen-io/amundsen,46
111,2023-02-01,186647681,amundsen-io/amundsen,47
112,2023-03-01,186647681,amundsen-io/amundsen,44
113,2013-11-01,14579099,plotly/plotly.py,3
114,2013-12-01,14579099,plotly/plotly.py,6
115,2014-01-01,14579099,plotly/plotly.py,25
116,2014-02-01,14579099,plotly/plotly.py,21
117,2014-03-01,14579099,plotly/plotly.py,12
118,2014-04-01,14579099,plotly/plotly.py,13
119,2014-05-01,14579099,plotly/plotly.py,11
120,2014-06-01,14579099,plotly/plotly.py,12
121,2014-07-01,14579099,plotly/plotly.py,10
122,2014-08-01,14579099,plotly/plotly.py,2
123,2014-09-01,14579099,plotly/plotly.py,12
124,2014-10-01,14579099,plotly/plotly.py,12
125,2014-11-01,14579099,plotly/plotly.py,7
126,2014-12-01,14579099,plotly/plotly.py,7
127,2015-01-01,14579099,plotly/plotly.py,11
128,2015-02-01,14579099,plotly/plotly.py,4
129,2015-03-01,14579099,plotly/plotly.py,9
130,2015-04-01,14579099,plotly/plotly.py,15
131,2015-05-01,14579099,plotly/plotly.py,4
132,2015-06-01,14579099,plotly/plotly.py,6
133,2015-07-01,14579099,plotly/plotly.py,14
134,2015-08-01,14579099,plotly/plotly.py,8
135,2015-09-01,14579099,plotly/plotly.py,15
136,2015-10-01,14579099,plotly/plotly.py,14
137,2015-11-01,14579099,plotly/plotly.py,148
138,2015-12-01,14579099,plotly/plotly.py,84
139,2016-01-01,14579099,plotly/plotly.py,127
140,2016-02-01,14579099,plotly/plotly.py,130
141,2016-03-01,14579099,plotly/plotly.py,131
142,2016-04-01,14579099,plotly/plotly.py,104
143,2016-05-01,14579099,plotly/plotly.py,118
144,2016-06-01,14579099,plotly/plotly.py,119
145,2016-07-01,14579099,plotly/plotly.py,149
146,2016-08-01,14579099,plotly/plotly.py,155
147,2016-09-01,14579099,plotly/plotly.py,103
148,2016-10-01,14579099,plotly/plotly.py,110
149,2016-11-01,14579099,plotly/plotly.py,55
150,2016-12-01,14579099,plotly/plotly.py,80
151,2017-01-01,14579099,plotly/plotly.py,76
152,2017-02-01,14579099,plotly/plotly.py,77
